,Quarter,Tm,Detail,BAL,NOR
0,1.0,Colts,Willie Richardson 15 yard pass from Johnny Unitas,6,0
1,1.0,Colts,Tom Mitchell 5 yard pass from Johnny Unitas (Lou Michaels kick),13,0
2,2.0,Colts,Lou Michaels 33 yard field goal,16,0
3,3.0,Saints,Tom Barrington 5 yard rush (Tom Dempsey kick),16,7
4,3.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),23,7
5,4.0,Saints,Tom Dempsey 33 yard field goal,23,10
6,4.0,Colts,Ray Perkins 47 yard pass from Johnny Unitas (Lou Michaels kick),30,10
