,Quarter,Tm,Detail,NYG,MIN
0,1.0,Giants,Homer Jones 66 yard pass from Fran Tarkenton (Pete Gogolak kick),7,0
1,1.0,Vikings,Clint Jones 96 yard kickoff return (Fred Cox kick),7,7
2,1.0,Giants,Homer Jones 45 yard pass from Fran Tarkenton (Pete Gogolak kick),14,7
3,2.0,Giants,Pete Gogolak 33 yard field goal,17,7
4,3.0,Giants,Aaron Thomas 48 yard pass from Fran Tarkenton (Pete Gogolak kick),24,7
5,3.0,Vikings,Joe Kapp 9 yard rush (Fred Cox kick),24,14
6,4.0,Vikings,Bill Brown 2 yard rush (Fred Cox kick),24,21
7,4.0,Vikings,Fred Cox 37 yard field goal,24,24
8,4.0,Vikings,Fred Cox 13 yard field goal,24,27
