,Quarter,Tm,Detail,SFO,NWE
0,1.0,Patriots,John Smith 44 yard field goal,0,3
1,2.0,Patriots,Sam Cunningham 11 yard rush (John Smith kick),0,10
2,2.0,Patriots,Andy Johnson 11 yard pass from Steve Grogan (John Smith kick),0,17
3,3.0,49ers,Ralph McGill 14 yard defensive fumble return (Steve Mike-Mayer kick),7,17
4,3.0,49ers,Steve Mike-Mayer 28 yard field goal,10,17
5,4.0,Patriots,Randy Vataha 7 yard pass from Steve Grogan (John Smith kick),10,24
6,4.0,49ers,Mike Holmes 24 yard pass from Norm Snead,16,24
