,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,,Raiders,Napoleon Kaufman 10 yard rush (Cole Ford kick),0,7
1,1.0,,Chiefs,Pete Stoyanovich 23 yard field goal,3,7
2,2.0,,Chiefs,Kimble Anders 5 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,7
3,2.0,,Raiders,Cole Ford 32 yard field goal,10,10
4,2.0,,Chiefs,Pete Stoyanovich 24 yard field goal,13,10
5,3.0,,Raiders,Rickey Dudley 37 yard pass from Jeff George (Cole Ford kick),13,17
6,3.0,,Raiders,Rickey Dudley 16 yard pass from Jeff George (Cole Ford kick),13,24
7,3.0,,Raiders,Cole Ford 34 yard field goal,13,27
8,3.0,,Chiefs,Pete Stoyanovich 23 yard field goal,16,27
9,3.0,2:42,Chiefs,Darren Anderson 55 yard interception return (pass failed),22,27
10,4.0,2:42,Chiefs,Andre Rison 33 yard pass from Elvis Grbac (pass failed),28,27
