,Quarter,Tm,Detail,MIN,BAL
0,1.0,Vikings,Fran Tarkenton 20 yard rush (Jim Christopherson kick),7,0
1,1.0,Colts,Jimmy Orr 6 yard pass from Johnny Unitas (Dick Bielski kick),7,7
2,2.0,Vikings,Jim Christopherson 39 yard field goal,10,7
3,3.0,Colts,Lenny Moore 10 yard rush (Dick Bielski kick),10,14
4,4.0,Vikings,Bill Brown 15 yard pass from Fran Tarkenton (Jim Christopherson kick),17,14
5,4.0,Colts,Raymond Berry 10 yard pass from Johnny Unitas (Dick Bielski kick),17,21
6,4.0,Colts,Jimmy Orr 30 yard pass from Johnny Unitas (Dick Bielski kick),17,28
7,4.0,Colts,Lenny Moore 80 yard pass from Johnny Unitas (Dick Bielski kick),17,35
8,4.0,Colts,Bake Turner 74 yard pass from Lamar McHan (Dick Bielski kick),17,42
