,Quarter,Tm,Detail,KAN,NOR
0,2.0,Saints,Charlie Durkee 31 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 12 yard field goal,3,3
2,2.0,Saints,Doug Wyatt 35 yard defensive fumble return (Charlie Durkee kick),3,10
3,2.0,Chiefs,Willie Frazier 4 yard pass from Len Dawson (Jan Stenerud kick),10,10
4,3.0,Saints,Dave Parks 8 yard pass from Archie Manning (Charlie Durkee kick),10,17
5,4.0,Chiefs,Otis Taylor 21 yard pass from Len Dawson (Jan Stenerud kick),17,17
6,4.0,Chiefs,Jan Stenerud 22 yard field goal,20,17
