,Quarter,Time,Tm,Detail,CAR,DAL
0,2.0,1:03,Panthers,Dante Rosario 25 yard pass from Jake Delhomme (John Kasay kick),7,0
1,3.0,9:53,Cowboys,Nick Folk 24 yard field goal,7,3
2,3.0,5:01,Cowboys,Tashard Choice 5 yard rush (Nick Folk kick),7,10
3,4.0,12:02,Cowboys,Nick Folk 19 yard field goal,7,13
4,4.0,5:07,Cowboys,Terence Newman 27 yard interception return (Tashard Choice run),7,21
