,Quarter,Tm,Detail,PRV,FRN
0,1,Yellow Jackets,Hust Stockton unknown yard rush (Tex Hamer kick),0,7
1,2,Yellow Jackets,Ed Weir 20 yard field goal,0,10
2,3,Yellow Jackets,Swede Youngstrom blocked punt recovery in end zone (Tex Hamer kick),0,17
3,4,Yellow Jackets,Two-Bits Homan unknown yard rush (Ed Weir kick),0,24
