,Quarter,Tm,Detail,NYJ,BAL
0,2.0,Jets,Matt Snell 4 yard rush (Jim Turner kick),7,0
1,3.0,Jets,Jim Turner 32 yard field goal,10,0
2,3.0,Jets,Jim Turner 30 yard field goal,13,0
3,4.0,Jets,Jim Turner 9 yard field goal,16,0
4,4.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),16,7
