,Quarter,Tm,Detail,BUF,CRD
0,1,Cardinals,Arnie Horween unknown yard rush,0,6
1,2,All-Americans,Jim Laird unknown yard rush (Frank Morrissey kick),7,6
2,3,Cardinals,Arnie Horween 31 yard field goal,7,9
