,Quarter,Tm,Detail,WAS,CHI
0,2.0,Redskins,Chip Lohmiller 47 yard field goal,3,0
1,2.0,Redskins,Art Monk 26 yard pass from Mark Rypien (Chip Lohmiller kick),10,0
2,3.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),10,7
3,4.0,Redskins,Art Monk 5 yard pass from Mark Rypien (Chip Lohmiller kick),17,7
4,4.0,Redskins,Chip Lohmiller 23 yard field goal,20,7
