,Quarter,Tm,Detail,NWE,IND
0,1.0,Colts,Dean Biasucci 27 yard field goal,0,3
1,2.0,Patriots,Scott Sisson 40 yard field goal,3,3
2,4.0,Colts,Dean Biasucci 38 yard field goal,3,6
3,4.0,Patriots,Scott Sisson 26 yard field goal,6,6
4,4.0,Colts,Dean Biasucci 37 yard field goal,6,9
