,Quarter,Tm,Detail,CRD,CLE
0,1.0,Cardinals,Dave Mann 30 yard rush,6,0
1,1.0,Browns,Ray Renfro 19 yard pass from Otto Graham (Lou Groza kick),6,7
2,1.0,Browns,Dante Lavelli 35 yard pass from Otto Graham (Lou Groza kick),6,14
3,2.0,Cardinals,Max Boydston 67 yard pass from Lamar McHan,12,14
4,3.0,Cardinals,Ollie Matson 78 yard punt return,18,14
5,3.0,Cardinals,Don Stonesifer 6 yard pass from Lamar McHan,24,14
6,4.0,Browns,Fred Morrison 10 yard rush (Lou Groza kick),24,21
7,4.0,Browns,Ray Renfro 41 yard pass from Otto Graham (Lou Groza kick),24,28
8,4.0,Browns,Bob Smith 31 yard rush (Lou Groza kick),24,35
