,Quarter,Tm,Detail,SEA,NYG
0,1.0,Seahawks,Sherman Smith 2 yard rush,6,0
1,1.0,Seahawks,John Leypoldt 45 yard field goal,9,0
2,2.0,Giants,Gary Shirk 3 yard pass from Craig Morton (Joe Danelo kick),9,7
3,2.0,Giants,Gordon Bell 2 yard rush (Joe Danelo kick),9,14
4,3.0,Giants,Gordon Bell 21 yard rush (Joe Danelo kick),9,21
5,3.0,Seahawks,Jim Zorn 7 yard rush (John Leypoldt kick),16,21
6,4.0,Giants,Ed Marshall 9 yard pass from Craig Morton (Joe Danelo kick),16,28
