,Quarter,Time,Tm,Detail,DET,WAS
0,1.0,9:09,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),0,7
1,1.0,2:28,Redskins,Stephen Davis 4 yard rush (Brett Conway kick),0,14
2,2.0,13:50,Redskins,Brett Conway 33 yard field goal,0,17
3,2.0,9:50,Redskins,Brett Conway 23 yard field goal,0,20
4,2.0,1:19,Redskins,Albert Connell 30 yard pass from Brad Johnson (Brett Conway kick),0,27
5,4.0,9:23,Lions,Ron Rice 94 yard blocked field goal return (pass failed),6,27
6,4.0,0:00,Lions,Ron Rivers 5 yard pass from Gus Frerotte (Jason Hanson kick),13,27
