,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Dick Bielski 42 yard field goal,3,0
1,1.0,Eagles,Ted Dean 60 yard pass from Sonny Jurgensen (Bobby Walston kick),3,7
2,1.0,Eagles,Pete Retzlaff 40 yard pass from Sonny Jurgensen (Bobby Walston kick),3,14
3,2.0,Eagles,Tommy McDonald 46 yard pass from Sonny Jurgensen (Bobby Walston kick),3,21
4,2.0,Eagles,Tommy McDonald 40 yard pass from Sonny Jurgensen (Bobby Walston kick),3,28
5,3.0,Cowboys,Dick Bielski 32 yard field goal,6,28
6,3.0,Eagles,Tommy McDonald 27 yard pass from Sonny Jurgensen (Bobby Walston kick),6,35
7,4.0,Cowboys,Amos Marsh 21 yard pass from Eddie LeBaron (Dick Bielski kick),13,35
