,Quarter,Tm,Detail,OAK,SEA
0,1.0,Seahawks,Steve Largent 40 yard pass from Jim Zorn (Efren Herrera kick),0,7
1,2.0,Seahawks,Efren Herrera 46 yard field goal,0,10
2,3.0,Raiders,Rich Martini 12 yard pass from Ken Stabler (Jim Breech kick),7,10
3,3.0,Seahawks,Efren Herrera 20 yard field goal,7,13
4,3.0,Seahawks,Steve Largent 21 yard pass from Jim Zorn (Efren Herrera kick),7,20
5,4.0,Raiders,Jim Breech 37 yard field goal,10,20
6,4.0,Seahawks,Sherman Smith 7 yard pass from Jim Zorn (Efren Herrera kick),10,27
