,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Johnny Strzykalski 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Packers,Billy Grimes 57 yard rush (Ted Fritsch kick),7,7
2,2.0,Packers,Tony Canadeo 2 yard rush,7,13
3,3.0,49ers,Fred Gehrke 2 yard rush (Gordie Soltau kick),14,13
4,3.0,49ers,Emil Sitko 28 yard pass from Frankie Albert (Gordie Soltau kick),21,13
5,4.0,Packers,Jack Cloud 2 yard rush,21,19
6,4.0,Packers,Breezy Reid 44 yard pass from Paul Christman,21,25
