,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,7:12,Bengals,Carl Pickens 7 yard pass from Jeff Blake (Doug Pelfrey kick),0,7
1,1.0,4:40,Bengals,Darnay Scott 23 yard pass from Jeff Blake (Doug Pelfrey kick),0,14
2,2.0,13:35,Ravens,Matt Stover 25 yard field goal,3,14
3,2.0,0:54,Ravens,Greg DeLong 3 yard pass from Tony Banks (Matt Stover kick),10,14
4,3.0,8:18,Ravens,Errict Rhett 2 yard rush (Matt Stover kick),17,14
5,3.0,5:33,Ravens,Patrick Johnson 25 yard pass from Tony Banks (Matt Stover kick),24,14
6,3.0,4:38,Ravens,Duane Starks 43 yard interception return (Matt Stover kick),31,14
7,3.0,2:43,Bengals,Darnay Scott 15 yard pass from Jeff Blake (Doug Pelfrey kick),31,21
8,4.0,9:09,Bengals,Craig Yeast 86 yard punt return (Doug Pelfrey kick),31,28
9,4.0,1:50,Bengals,Doug Pelfrey 19 yard field goal,31,31
10,4.0,0:00,Ravens,Matt Stover 50 yard field goal,34,31
