,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Bobby Walston 25 yard field goal,0,3
1,2.0,Eagles,Hal Giancanelli 14 yard pass from Bobby Thomason,0,9
2,3.0,Eagles,Pete Pihos 15 yard pass from Bobby Thomason (Bobby Walston kick),0,16
3,3.0,Redskins,Vic Janowicz 19 yard pass from Eddie LeBaron (Vic Janowicz kick),7,16
4,3.0,Redskins,Ralph Thomas fumble recovery in end zone (Vic Janowicz kick),14,16
5,3.0,Redskins,Vic Janowicz 1 yard rush (Vic Janowicz kick),21,16
6,3.0,Redskins,Eddie LeBaron 1 yard rush (Vic Janowicz kick),28,16
7,3.0,Eagles,Jerry Norton 36 yard pass from Bobby Thomason (Bobby Walston kick),28,23
8,4.0,Redskins,Vic Janowicz 20 yard field goal,31,23
9,4.0,Eagles,Bill Stribling 6 yard pass from Bobby Thomason (Dick Bielski kick),31,30
