,Quarter,Tm,Detail,PIT,NYG
0,1.0,Giants,Joe Sulaitis 2 yard rush (Frank Williams kick),0,7
1,1.0,Steelers,Jerry Shipkey 1 yard rush,6,7
2,1.0,Giants,Jim White 54 yard kickoff return,6,13
3,2.0,Giants,Gene Roberts 49 yard pass from Charlie Conerly (Frank Williams kick),6,20
4,2.0,Steelers,Val Jansante 12 yard pass from Ray Evans (Joe Glamp kick),13,20
5,3.0,Steelers,Val Jansante 66 yard pass from Ray Evans (Joe Glamp kick),20,20
6,3.0,Steelers,Jerry Shipkey 3 yard rush (Joe Glamp kick),27,20
7,3.0,Giants,Joe Sulaitis 34 yard pass from Charlie Conerly (Frank Williams kick),27,27
8,4.0,Giants,Charlie Conerly 1 yard rush (Frank Williams kick),27,34
