,Quarter,Tm,Detail,DAL,SFO
0,1.0,49ers,Vic Washington 97 yard kickoff return (Bruce Gossett kick),0,7
1,1.0,Cowboys,Toni Fritsch 37 yard field goal,3,7
2,2.0,49ers,Larry Schreiber 1 yard rush (Bruce Gossett kick),3,14
3,2.0,49ers,Larry Schreiber 1 yard rush (Bruce Gossett kick),3,21
4,2.0,Cowboys,Toni Fritsch 45 yard field goal,6,21
5,2.0,Cowboys,Lance Alworth 28 yard pass from Craig Morton (Toni Fritsch kick),13,21
6,3.0,49ers,Larry Schreiber 1 yard rush (Bruce Gossett kick),13,28
7,4.0,Cowboys,Toni Fritsch 27 yard field goal,16,28
8,4.0,Cowboys,Billy Parks 20 yard pass from Roger Staubach (Toni Fritsch kick),23,28
9,4.0,Cowboys,Ron Sellers 10 yard pass from Roger Staubach (Toni Fritsch kick),30,28
