,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,,Patriots,Matt Bahr 41 yard field goal,0,3
1,2.0,,Colts,Ken Dilger 3 yard pass from Jim Harbaugh (Cary Blanchard kick),7,3
2,2.0,,Colts,Cary Blanchard 36 yard field goal,10,3
3,2.0,,Colts,Marshall Faulk 10 yard rush (Cary Blanchard kick),17,3
4,3.0,,Patriots,Curtis Martin 2 yard rush (Matt Bahr kick),17,10
5,4.0,,Colts,Floyd Turner 14 yard pass from Jim Harbaugh (Cary Blanchard kick),24,10
