,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Altie Taylor 1 yard rush (Errol Mann kick),0,7
1,2.0,Lions,Ray Jarvis 21 yard pass from Joe Reed (Errol Mann kick),0,14
2,3.0,Browns,Don Cockroft 32 yard field goal,3,14
3,4.0,Lions,Ben Davis 67 yard interception return (Errol Mann kick),3,21
4,4.0,Browns,Oscar Roan 12 yard pass from Will Cureton (Don Cockroft kick),10,21
