,Quarter,Tm,Detail,BKN,DET
0,1.0,Lions,Harry Hopp 1 yard rush (Augie Lio kick),0,7
1,2.0,Lions,Ben Hightower 31 yard pass from Frankie Sinkwich (Augie Lio kick),0,14
2,2.0,Lions,Augie Lio 43 yard field goal,0,17
3,2.0,Lions,Augie Lio 17 yard field goal,0,20
4,4.0,Lions,Elmer Hackney 30 yard blocked punt return (Augie Lio kick),0,27
