,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,6:35,Broncos,Jason Elam 25 yard field goal,0,3
1,2.0,8:02,Broncos,Jason Elam 29 yard field goal,0,6
2,2.0,1:07,Broncos,Desmond Clark 18 yard pass from Brian Griese (Jason Elam kick),0,13
3,2.0,0:28,Broncos,Dwayne Carswell 3 yard pass from Brian Griese (Jason Elam kick),0,20
4,3.0,11:54,Broncos,Jason Elam 26 yard field goal,0,23
5,3.0,9:42,Chargers,Wade Richey 29 yard field goal,3,23
6,3.0,5:38,Broncos,Jason Elam 33 yard field goal,3,26
7,4.0,14:50,Chargers,Curtis Conway 72 yard pass from Doug Flutie (Wade Richey kick),10,26
8,4.0,10:57,Chargers,Raylee Johnson 45 yard defensive fumble return,16,26
