,Quarter,Time,Tm,Detail,NOR,SFO
0,1.0,,Saints,Doug Brien 47 yard field goal,3,0
1,1.0,,Saints,Kerry Collins 1 yard rush (Doug Brien kick),10,0
2,2.0,,49ers,Terrell Owens 8 yard pass from Steve Young (Wade Richey kick),10,7
3,2.0,1:09,49ers,Terrell Owens 8 yard pass from Steve Young (Wade Richey kick),10,14
4,2.0,0:04,Saints,Doug Brien 22 yard field goal,13,14
5,3.0,0:04,49ers,Garrison Hearst 81 yard pass from Steve Young (Wade Richey kick),13,21
6,3.0,0:04,49ers,Jerry Rice 8 yard pass from Steve Young (Wade Richey kick),13,28
7,3.0,0:04,49ers,Wade Richey 45 yard field goal,13,31
8,4.0,1:24,Saints,Aaron Craver 1 yard rush (Doug Brien kick),20,31
