,Quarter,Tm,Detail,DET,FRN
0,1.0,Yellow Jackets,Arnie Oehlrich unknown yard pass from Ken Mercer,0,6
1,1.0,Yellow Jackets,Wally Diehl 40 yard rush (Ken Mercer kick),0,13
2,2.0,Yellow Jackets,Hust Stockton 30 yard interception return,0,19
3,3.0,Wolverines,Len Sedbrook 61 yard interception return (Ossie Wiberg kick),7,19
4,4.0,Yellow Jackets,Chief Elkins 31 yard interception return,7,25
