,Quarter,Time,Tm,Detail,SFO,DAL
0,1.0,2:39,49ers,Joe Nedney 23 yard field goal,3,0
1,1.0,0:00,49ers,Joe Nedney 22 yard field goal,6,0
2,2.0,13:54,Cowboys,Terrell Owens 75 yard pass from Tony Romo (Nick Folk kick),6,7
3,2.0,12:02,Cowboys,"Safety, Carlos Polk blocked punt through end zone for a safety.",6,9
4,2.0,7:23,Cowboys,Nick Folk 48 yard field goal,6,12
5,2.0,3:02,Cowboys,Nick Folk 41 yard field goal,6,15
6,2.0,0:52,Cowboys,Martellus Bennett 1 yard pass from Tony Romo (Nick Folk kick),6,22
7,3.0,12:04,Cowboys,Patrick Crayton 10 yard pass from Tony Romo (Nick Folk kick),6,29
8,3.0,8:23,49ers,Joe Nedney 35 yard field goal,9,29
9,4.0,14:49,Cowboys,Nick Folk 47 yard field goal,9,32
10,4.0,8:20,49ers,Isaac Bruce 18 yard pass from Shaun Hill (Joe Nedney kick),16,32
11,4.0,5:06,Cowboys,Nick Folk 42 yard field goal,16,35
12,4.0,3:46,49ers,DeShaun Foster 9 yard pass from Shaun Hill (pass failed),22,35
