,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,7:43,Titans,Eddie George 2 yard rush (Al Del Greco kick),0,7
1,2.0,9:46,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),7,7
2,3.0,8:14,Titans,Al Del Greco 21 yard field goal,7,10
3,3.0,3:05,Ravens,Matt Stover 38 yard field goal,10,10
4,4.0,12:12,Ravens,Anthony Mitchell 90 yard blocked field goal return (Matt Stover kick),17,10
5,4.0,6:41,Ravens,Ray Lewis 50 yard interception return (Matt Stover kick),24,10
