,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Frank Gifford 39 yard pass from Y.A. Tittle (Don Chandler kick),0,7
1,2.0,Cardinals,Taz Anderson 8 yard pass from Charley Johnson (Gerry Perry kick),7,7
2,2.0,Giants,Don Chandler 33 yard field goal,7,10
3,2.0,Cardinals,John David Crow 4 yard rush (Gerry Perry kick),14,10
4,4.0,Giants,Frank Gifford 32 yard pass from Y.A. Tittle (Don Chandler kick),14,17
5,4.0,Cardinals,Sonny Randle 55 yard pass from Charley Johnson (Gerry Perry kick),21,17
6,4.0,Giants,Alex Webster 3 yard rush (Don Chandler kick),21,24
7,4.0,Cardinals,Charley Johnson 1 yard rush (Gerry Perry kick),28,24
8,4.0,Giants,Alex Webster 20 yard pass from Y.A. Tittle (Don Chandler kick),28,31
