,Quarter,Time,Tm,Detail,ATL,DET
0,1.0,,Lions,Tommie Boyd 18 yard pass from Frank Reich (Jason Hanson kick),0,7
1,1.0,,Falcons,Jamal Anderson 8 yard pass from Chris Chandler (Morten Andersen kick),7,7
2,2.0,,Falcons,Morten Andersen 34 yard field goal,10,7
3,2.0,0:32,Lions,Herman Moore 2 yard pass from Frank Reich (Jason Hanson kick),10,14
4,3.0,0:32,Lions,Jason Hanson 30 yard field goal,10,17
5,4.0,0:32,Falcons,Terance Mathis 27 yard pass from Chris Chandler (Morten Andersen kick),17,17
6,4.0,0:32,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),24,17
