,Quarter,Tm,Detail,WAS,PHI
0,2.0,Eagles,Louie Giammona 13 yard pass from Ron Jaworski (Tony Franklin kick),0,7
1,2.0,Redskins,Mark Moseley 19 yard field goal,3,7
2,2.0,Redskins,Mark Moseley 22 yard field goal,6,7
3,3.0,Eagles,Louie Giammona 1 yard rush (Tony Franklin kick),6,14
4,4.0,Redskins,John Riggins 3 yard rush (Mark Moseley kick),13,14
5,4.0,Eagles,Charlie Smith 29 yard pass from Ron Jaworski (Tony Franklin kick),13,21
6,4.0,Eagles,Tony Franklin 28 yard field goal,13,24
7,4.0,Eagles,"Safety, Clarke tackled Theismann in end zone",13,26
8,4.0,Eagles,Tony Franklin 36 yard field goal,13,29
9,4.0,Eagles,Greg Brown 7 yard defensive fumble return (Tony Franklin kick),13,36
