,Quarter,Tm,Detail,SFO,DET
0,2.0,49ers,Billy Wilson 3 yard pass from Y.A. Tittle (Gordie Soltau kick),7,0
1,2.0,49ers,Hugh McElhenny 6 yard rush (Gordie Soltau kick),14,0
2,3.0,49ers,Frankie Albert 1 yard rush (Gordie Soltau kick),21,0
3,4.0,49ers,Don Burke 35 yard interception return (Gordie Soltau kick),28,0
