,Quarter,Time,Tm,Detail,BAL,MIA
0,1.0,9:28,Dolphins,Caleb Sturgis 46 yard field goal,0,3
1,1.0,1:41,Dolphins,Brian Hartline 3 yard pass from Ryan Tannehill (Caleb Sturgis kick),0,10
2,2.0,0:02,Ravens,Steve Smith 1 yard pass from Joe Flacco (Justin Tucker kick),7,10
3,3.0,6:14,Ravens,Kamar Aiken 13 yard pass from Joe Flacco (Justin Tucker kick),14,10
4,4.0,12:41,Dolphins,Caleb Sturgis 34 yard field goal,14,13
5,4.0,8:09,Ravens,Justin Forsett 2 yard rush (Justin Tucker kick),21,13
6,4.0,3:34,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),28,13
