,Quarter,Time,Tm,Detail,STL,TEN
0,1.0,3:06,Titans,Chris Johnson 39 yard rush (Rob Bironas kick),0,7
1,1.0,0:06,Titans,Chris Johnson 66 yard pass from Vince Young (Rob Bironas kick),0,14
2,2.0,6:57,Titans,Rob Bironas 27 yard field goal,0,17
3,2.0,1:04,Titans,Rob Bironas 34 yard field goal,0,20
4,2.0,0:00,Titans,Rob Bironas 36 yard field goal,0,23
5,3.0,8:15,Titans,Rob Bironas 50 yard field goal,0,26
6,3.0,2:02,Titans,Chris Johnson 3 yard rush (Rob Bironas kick),0,33
7,4.0,13:02,Rams,Randy McMichael 11 yard pass from Keith Null (Josh Brown kick),7,33
8,4.0,7:31,Titans,Alge Crumpler 1 yard pass from Kerry Collins (Rob Bironas kick),7,40
9,4.0,5:44,Titans,Vincent Fuller 45 yard interception return (Rob Bironas kick),7,47
