,Quarter,Time,Tm,Detail,CLE,GNB
0,1.0,11:07,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick failed),0,6
1,1.0,4:57,Packers,Bubba Franks 4 yard pass from Brett Favre (Ryan Longwell kick),0,13
2,2.0,7:08,Browns,Jamel White 3 yard pass from Tim Couch (Phil Dawson kick),7,13
3,2.0,1:52,Packers,Ryan Longwell 39 yard field goal,7,16
4,2.0,0:43,Packers,Tyrone Williams 69 yard interception return (Ryan Longwell kick),7,23
5,4.0,12:40,Packers,Dorsey Levens 16 yard pass from Brett Favre (Ryan Longwell kick),7,30
