,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),7,0
1,1.0,Jets,Wesley Walker 29 yard pass from Richard Todd (Pat Leahy kick),7,7
2,1.0,Dolphins,Tommy Vigorito 59 yard punt return (Uwe von Schamann kick),14,7
3,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),21,7
4,2.0,Dolphins,Uwe von Schamann 25 yard field goal,24,7
5,2.0,Jets,Mike Augustyniak 2 yard rush (Pat Leahy kick),24,14
6,3.0,Dolphins,David Woodley 15 yard pass from Tony Nathan (Uwe von Schamann kick),31,14
7,3.0,Dolphins,Glenn Blackwood 35 yard interception return (Uwe von Schamann kick),38,14
8,3.0,Dolphins,Don McNeal 19 yard interception return (Uwe von Schamann kick),45,14
9,4.0,Jets,Jerome Barkum 7 yard pass from Richard Todd (Pat Leahy kick),45,21
10,4.0,Jets,Wesley Walker 5 yard pass from Richard Todd (Pat Leahy kick),45,28
