,Quarter,Tm,Detail,CHI,NOR
0,1.0,Bears,Mac Percival 50 yard field goal,3,0
1,1.0,Saints,Charlie Durkee 19 yard field goal,3,3
2,2.0,Bears,Mac Percival 46 yard field goal,6,3
3,2.0,Bears,Austin Denney 46 yard pass from Jack Concannon (Mac Percival kick),13,3
4,2.0,Saints,Danny Abramowicz 47 yard pass from Billy Kilmer (Charlie Durkee kick),13,10
5,2.0,Bears,Mac Percival 20 yard field goal,16,10
6,4.0,Bears,Austin Denney 8 yard pass from Jack Concannon (Mac Percival kick),23,10
7,4.0,Saints,Tom Barrington 2 yard pass from Billy Kilmer (Charlie Durkee kick),23,17
