,Quarter,Time,Tm,Detail,PIT,SDG
0,1.0,,Chargers,John Carney 37 yard field goal,0,3
1,2.0,,Steelers,Gary Anderson 28 yard field goal,3,3
2,2.0,12:57,Chargers,Andre Coleman 90 yard kickoff return (John Carney kick),3,10
3,2.0,12:57,Steelers,Gary Anderson 28 yard field goal,6,10
4,2.0,12:57,Steelers,Charles Johnson 19 yard pass from Neil O'Donnell (Gary Anderson kick),13,10
5,2.0,12:57,Chargers,Mark Seay 2 yard pass from Stan Humphries (John Carney kick),13,17
6,3.0,12:57,Chargers,Natrone Means 2 yard rush (John Carney kick),13,24
7,3.0,12:57,Steelers,Fred McAfee 6 yard rush (pass failed),19,24
8,4.0,0:12,Steelers,Charles Johnson 84 yard pass from Mike Tomczak (Dwight Stone pass from Mike Tomczak),27,24
9,4.0,0:12,Chargers,John Carney 40 yard field goal,27,27
10,4.0,0:12,Steelers,Andre Hastings 11 yard pass from Mike Tomczak (Gary Anderson kick),34,27
11,4.0,0:12,Chargers,Natrone Means 20 yard rush (John Carney kick),34,34
12,4.0,0:12,Chargers,John Carney 32 yard field goal,34,37
