,Quarter,Tm,Detail,DEN,CIN
0,1.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),0,7
1,1.0,Broncos,Jon Keyworth 9 yard rush (Jim Turner kick),7,7
2,2.0,Bengals,Chris Bahr 19 yard field goal,7,10
3,2.0,Broncos,Jim Turner 41 yard field goal,10,10
4,2.0,Broncos,Jack Dolbin 81 yard pass from Craig Morton (Jim Turner kick),17,10
5,4.0,Bengals,Chris Bahr 24 yard field goal,17,13
6,4.0,Broncos,Jim Jensen 1 yard rush (Jim Turner kick),24,13
