,Quarter,Tm,Detail,NOR,SFO
0,1.0,Saints,Morten Andersen 29 yard field goal,3,0
1,2.0,Saints,Torrance Small 22 yard pass from Bobby Hebert (Morten Andersen kick),10,0
2,2.0,49ers,Steve Young 10 yard rush (Mike Cofer kick),10,7
3,3.0,Saints,Morten Andersen 42 yard field goal,13,7
4,3.0,Saints,Dalton Hilliard 11 yard pass from Bobby Hebert (Morten Andersen kick),20,7
5,4.0,49ers,Brent Jones 14 yard pass from Steve Young (Mike Cofer kick),20,14
6,4.0,49ers,Brent Jones 8 yard pass from Steve Young (Mike Cofer kick),20,21
