,Quarter,Tm,Detail,DET,CRD
0,3,Cardinals,Bill Daddio 9 yard pass from Bud Schwenk,0,6
1,4,Cardinals,Steve Lach 20 yard pass from Bud Schwenk (Bill Daddio kick),0,13
