,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Scott Norwood 29 yard field goal,0,3
1,1.0,Colts,Dean Biasucci 24 yard field goal,3,3
2,2.0,Bills,Butch Rolle 3 yard pass from Jim Kelly (Scott Norwood kick),3,10
3,2.0,Bills,Scott Norwood 31 yard field goal,3,13
4,2.0,Bills,Scott Norwood 37 yard field goal,3,16
5,3.0,Colts,Stanley Morgan 25 yard pass from Jeff George (Dean Biasucci kick),10,16
6,4.0,Bills,Scott Norwood 47 yard field goal,10,19
7,4.0,Bills,Thurman Thomas 6 yard rush (Scott Norwood kick),10,26
