,Quarter,Tm,Detail,DET,GNB
0,2,Packers,Dick O'Donnell unknown yard pass from Curly Lambeau (Curly Lambeau kick),0,7
1,3,Packers,Verne Lewellen unknown yard pass from Charlie Mathys (Curly Lambeau kick),0,14
2,4,Packers,Dick O'Donnell unknown yard pass from Curly Lambeau (Curly Lambeau kick),0,21
