,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Charlie Gogolak 39 yard field goal,0,3
1,1.0,Cardinals,Sonny Randle 1 yard pass from Charley Johnson (Jim Bakken kick),7,3
2,2.0,Redskins,Charlie Gogolak 9 yard field goal,7,6
3,2.0,Cardinals,Jim Bakken 37 yard field goal,10,6
4,2.0,Redskins,Charlie Gogolak 44 yard field goal,10,9
5,3.0,Redskins,Charlie Gogolak 19 yard field goal,10,12
6,3.0,Cardinals,Jim Bakken 17 yard field goal,13,12
7,4.0,Redskins,Bobby Mitchell 15 yard pass from Sonny Jurgensen (Charlie Gogolak kick),13,19
8,4.0,Redskins,Bobby Mitchell 44 yard pass from Sonny Jurgensen (Charlie Gogolak kick),13,26
9,4.0,Cardinals,Charley Johnson 2 yard rush (Jim Bakken kick),20,26
