,Quarter,Time,Tm,Detail,NWE,KAN
0,1.0,6:02,Chiefs,Pete Stoyanovich 22 yard field goal,0,3
1,1.0,1:57,Patriots,Terry Glenn 49 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,3
2,3.0,6:54,Chiefs,Donnell Bennett 1 yard rush (Pete Stoyanovich kick),7,10
3,3.0,0:23,Chiefs,Pete Stoyanovich 41 yard field goal,7,13
4,4.0,4:52,Chiefs,Pete Stoyanovich 23 yard field goal,7,16
5,4.0,2:43,Patriots,Shawn Jefferson 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),14,16
