,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Jets,Pat Leahy 23 yard field goal,0,3
1,2.0,Jets,Johnny Hector 4 yard rush (Pat Leahy kick),0,10
2,3.0,Chiefs,Nick Lowery 34 yard field goal,3,10
3,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),3,17
4,4.0,Chiefs,Carlos Carson 80 yard pass from Steve DeBerg (Nick Lowery kick),10,17
5,4.0,Chiefs,Emile Harry 8 yard pass from Steve DeBerg (Nick Lowery kick),17,17
