,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Jay Arnold 20 yard fumble return (Dave Smukler kick),7,0
1,2.0,Eagles,Jay Arnold 34 yard pass from Dick Riffle (Hank Reese kick),14,0
2,2.0,Eagles,Jay Arnold 23 yard interception return,20,0
3,3.0,Eagles,Dick Riffle 44 yard rush (Dave Smukler kick),27,0
4,4.0,Pirates,Whizzer White 1 yard rush (Armand Niccolai kick),27,7
