,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Les Murdock 38 yard field goal,3,0
1,1.0,Giants,Homer Jones 52 yard pass from Fran Tarkenton (Les Murdock kick),10,0
2,1.0,Cowboys,Bob Hayes 43 yard pass from Don Meredith (Harold Deters kick),10,7
3,2.0,Cowboys,Dan Reeves 2 yard pass from Don Meredith (Harold Deters kick),10,14
4,2.0,Cowboys,Pete Gent 16 yard pass from Don Meredith (Harold Deters kick),10,21
5,3.0,Giants,Homer Jones 46 yard rush (Les Murdock kick),17,21
6,3.0,Cowboys,Don Perkins 7 yard rush (Harold Deters kick),17,28
7,4.0,Cowboys,Bob Hayes 20 yard pass from Don Meredith (Harold Deters kick),17,35
8,4.0,Cowboys,Harold Deters 12 yard field goal,17,38
9,4.0,Giants,Joe Morrison 21 yard pass from Earl Morrall (Les Murdock kick),24,38
