,Quarter,Tm,Detail,BUF,PHI
0,2.0,Eagles,Paul McFadden 39 yard field goal,0,3
1,2.0,Eagles,Anthony Toney 18 yard pass from Randall Cunningham (Paul McFadden kick),0,10
2,3.0,Eagles,Anthony Toney 2 yard rush (Paul McFadden kick),0,17
3,4.0,Bills,Andre Reed 4 yard pass from Jim Kelly (Scott Norwood kick),7,17
