,Quarter,Time,Tm,Detail,ATL,MIN
0,1.0,8:47,Falcons,Michael Turner 1 yard rush (Jason Elam kick),7,0
1,1.0,2:00,Vikings,Visanthe Shiancoe 21 yard pass from Tarvaris Jackson (Ryan Longwell kick),7,7
2,2.0,14:06,Falcons,Jerious Norwood 8 yard pass from Matt Ryan (Jason Elam kick),14,7
3,2.0,0:03,Falcons,Jason Elam 22 yard field goal,17,7
4,3.0,2:38,Falcons,Justin Blalock 4 yard offensive fumble return (Jason Elam kick),24,7
5,4.0,11:32,Vikings,Ryan Longwell 29 yard field goal,24,10
6,4.0,2:44,Vikings,Visanthe Shiancoe 17 yard pass from Tarvaris Jackson (Ryan Longwell kick),24,17
