,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Mark Duper 12 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,Pete Stoyanovich 35 yard field goal,10,0
2,2.0,Colts,Dean Biasucci 47 yard field goal,10,3
3,3.0,Colts,Dean Biasucci 25 yard field goal,10,6
