,Quarter,Time,Tm,Detail,BAL,OAK
0,2.0,11:08,Ravens,Shannon Sharpe 96 yard pass from Trent Dilfer (Matt Stover kick),7,0
1,2.0,8:19,Ravens,Matt Stover 31 yard field goal,10,0
2,3.0,10:07,Raiders,Sebastian Janikowski 24 yard field goal,10,3
3,3.0,5:08,Ravens,Matt Stover 28 yard field goal,13,3
4,4.0,7:28,Ravens,Matt Stover 21 yard field goal,16,3
