,Quarter,Tm,Detail,SFO,BAL
0,2.0,Colts,Johnny Unitas 1 yard rush (Steve Myhra kick),0,7
1,2.0,49ers,Joe Perry 4 yard rush (Tommy Davis kick),7,7
2,2.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),7,14
3,2.0,Colts,Raymond Berry 21 yard pass from Johnny Unitas (Steve Myhra kick),7,21
4,3.0,Colts,Lenny Moore 3 yard pass from Johnny Unitas (Steve Myhra kick),7,28
5,3.0,49ers,Jerry Mertens 30 yard interception return (Tommy Davis kick),14,28
6,4.0,Colts,Lenny Moore 31 yard rush (Steve Myhra kick),14,35
7,4.0,Colts,Steve Myhra 20 yard field goal,14,38
8,4.0,Colts,Alan Ameche 2 yard rush (Steve Myhra kick),14,45
