,Quarter,Tm,Detail,CHI,ATL
0,2.0,Falcons,Bob Lee 1 yard rush (Nick Mike-Mayer kick),0,7
1,3.0,Falcons,Nick Mike-Mayer 35 yard field goal,0,10
2,4.0,Bears,Bo Rather 59 yard pass from Gary Huff (Mirro Roder kick),7,10
3,4.0,Bears,Mirro Roder 37 yard field goal,10,10
4,4.0,Falcons,Nick Mike-Mayer 31 yard field goal,10,13
