,Quarter,Time,Tm,Detail,NYG,GNB
0,3.0,10:03,Packers,Javon Walker 28 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,3.0,9:13,Giants,Tiki Barber 52 yard rush (Steve Christie kick),7,7
2,4.0,12:07,Giants,Jeremy Shockey 4 yard pass from Kurt Warner (Steve Christie kick),14,7
