,Quarter,Tm,Detail,BOS,CRD
0,1.0,Yanks,Joe Golding 34 yard pass from Roy Zimmerman,6,0
1,2.0,Cardinals,Bill Blackburn 31 yard interception return (Pat Harder kick),6,7
2,2.0,Cardinals,Charley Trippi 6 yard rush (Pat Harder kick),6,14
3,3.0,Cardinals,Bill Blackburn 27 yard interception return (Pat Harder kick),6,21
4,3.0,Cardinals,Mal Kutner 32 yard rush (Pat Harder kick),6,28
5,3.0,Cardinals,Babe Dimancheff 52 yard pass from Charley Eikenberg (Pat Harder kick),6,35
6,3.0,Cardinals,Elmer Angsman 1 yard rush (Pat Harder kick),6,42
7,3.0,Cardinals,Mal Kutner 54 yard pass from Ray Mallouf (Pat Harder kick),6,49
8,4.0,Yanks,Jim Tyree 7 yard fumble return (Roy Zimmerman kick),13,49
9,4.0,Yanks,Joe Golding 28 yard pass from Roy Zimmerman (Roy Zimmerman kick),20,49
10,4.0,Yanks,Joe Golding 34 yard pass from Roy Zimmerman (Roy Zimmerman kick),27,49
