,Quarter,Time,Tm,Detail,MIA,DAL
0,3.0,7:08,Cowboys,Dexter Coakley 46 yard interception return (Richie Cunningham kick),0,7
1,4.0,11:47,Cowboys,Richie Cunningham 36 yard field goal,0,10
2,4.0,6:24,Cowboys,Rocket Ismail 65 yard pass from Troy Aikman (Richie Cunningham kick),0,17
3,4.0,1:57,Cowboys,Richie Cunningham 23 yard field goal,0,20
