,Quarter,Tm,Detail,BKN,WAS
0,1.0,Redskins,Wilbur Moore 50 yard pass from Sammy Baugh (Bob Masterson kick),0,7
1,1.0,Redskins,Andy Farkas 14 yard pass from Sammy Baugh (Jack Jenkins kick),0,14
2,3.0,Redskins,Wilbur Moore 28 yard rush,0,20
3,4.0,Redskins,Wilbur Moore 7 yard pass from Sammy Baugh (Bob Masterson kick),0,27
