,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Raymond Chester 23 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,1.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),0,14
2,2.0,Chargers,Cid Edwards 1 yard rush (Dennis Partee kick),7,14
3,4.0,Chargers,Carl Mauck offensive fumble recovery in end zone (Dennis Partee kick),14,14
4,4.0,Chargers,Dennis Partee 41 yard field goal,17,14
5,4.0,Raiders,George Blanda 40 yard field goal,17,17
