,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,Bobby Howfield 48 yard field goal,0,3
1,2.0,Browns,Don Cockroft 32 yard field goal,3,3
2,2.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),10,3
3,2.0,Broncos,Bobby Howfield 30 yard field goal,10,6
4,3.0,Browns,Don Cockroft 34 yard field goal,13,6
5,3.0,Browns,Homer Jones 43 yard pass from Bill Nelsen (Don Cockroft kick),20,6
6,3.0,Browns,Bo Scott 23 yard pass from Bill Nelsen (Don Cockroft kick),27,6
7,4.0,Broncos,Willis Crenshaw 1 yard rush (Bobby Howfield kick),27,13
