,Quarter,Tm,Detail,DAY,RII
0,1,Independents,Buck Gavin 2 yard rush,0,6
1,3,Independents,Buck Gavin 2 yard rush (Rube Ursella kick),0,13
2,4,Independents,Mike Wilson unknown yard pass from Jim Thorpe (Rube Ursella kick),0,20
