,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Bob Boyd 15 yard pass from Norm Van Brocklin (Paige Cothren kick),0,7
1,1.0,49ers,Hugh McElhenny 22 yard pass from Y.A. Tittle (Gordie Soltau kick),7,7
2,1.0,Rams,Tank Younger 1 yard rush (Paige Cothren kick),7,14
3,2.0,49ers,Gordie Soltau 35 yard field goal,10,14
4,2.0,Rams,Bob Boyd 50 yard pass from Norm Van Brocklin (Paige Cothren kick),10,21
5,2.0,49ers,Clyde Conner 33 yard pass from Joe Arenas (Gordie Soltau kick),17,21
6,2.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),24,21
7,2.0,Rams,Jon Arnett 4 yard rush (Paige Cothren kick),24,28
8,3.0,Rams,"Safety, McElhenny tackled by Daugherty in end zone",24,30
9,4.0,Rams,Joe Marconi 1 yard rush (Paige Cothren kick),24,37
